Codigo,Componente,Nombre_Componente
106,39799,LAMINADO 157MM PP PERLADO SAMSON
106,CPS0019,CONSUMO DE LAMINADO
107,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
107,CPS0019,CONSUMO DE LAMINADO
112,39799,LAMINADO 157MM PP PERLADO SAMSON
112,CPS0019,CONSUMO DE LAMINADO
115,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
115,CPS0019,CONSUMO DE LAMINADO
116,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
116,CPS0019,CONSUMO DE LAMINADO
14528,710,LAMINADO 167 WINEGLASS (AUTOMATICO) PT220 ECO
14528,CPS0019,CONSUMO DE LAMINADO
14634,710,LAMINADO 167 WINEGLASS (AUTOMATICO) PT220 ECO
14634,CPS0019,CONSUMO DE LAMINADO
167,39799,LAMINADO 157MM PP PERLADO SAMSON
167,CPS0019,CONSUMO DE LAMINADO
175557,302,LAMINADO 160MM PAPEL BLANCO S.BRILLO 80G/AF1000/LN52M
175557,CPS0019,CONSUMO DE LAMINADO
175566,39799,LAMINADO 157MM PP PERLADO SAMSON
175566,CPS0019,CONSUMO DE LAMINADO
175578,CPS0019,CONSUMO DE LAMINADO
175578,56775,LAMINADO 160MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
175598,CPS0019,CONSUMO DE LAMINADO
175598,46036,LAMINADO 110MM PAPEL SEMIBRILLO L80-PH-G62S (EXACTO) ARP
175599,39799,LAMINADO 157MM PP PERLADO SAMSON
175599,CPS0019,CONSUMO DE LAMINADO
175600,40500,LAMINADO 160MM BOPP  BLACO. 60 UTC RI 707/BL 8065 EXACTO
175600,CPS0019,CONSUMO DE LAMINADO
175603,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
175603,CPS0019,CONSUMO DE LAMINADO
175605,39799,LAMINADO 157MM PP PERLADO SAMSON
175605,CPS0019,CONSUMO DE LAMINADO
175606,39799,LAMINADO 157MM PP PERLADO SAMSON
175606,CPS0019,CONSUMO DE LAMINADO
175611,44626,LAMINADO 110MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
175611,CPS0019,CONSUMO DE LAMINADO
175617,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
175617,CPS0019,CONSUMO DE LAMINADO
175624,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
175624,CPS0019,CONSUMO DE LAMINADO
182,46344,LAMINADO 160MM PPBB60-P1-G62S (Samson)
182,CPS0019,CONSUMO DE LAMINADO
18391,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
18391,CPS0019,CONSUMO DE LAMINADO
186,46344,LAMINADO 160MM PPBB60-P1-G62S (Samson)
186,CPS0019,CONSUMO DE LAMINADO
18607,CPS0019,CONSUMO DE LAMINADO
18607,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
18706,39799,LAMINADO 157MM PP PERLADO SAMSON
18706,CPS0019,CONSUMO DE LAMINADO
18707,39799,LAMINADO 157MM PP PERLADO SAMSON
18707,CPS0019,CONSUMO DE LAMINADO
19472,CPS0019,CONSUMO DE LAMINADO
19472,57559,LAMINADO 330MM PAPEL SEMIBRILLO L80-PH-G60 ARP
19483,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
19483,CPS0019,CONSUMO DE LAMINADO
197,CPS0019,CONSUMO DE LAMINADO
197,56775,LAMINADO 160MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
20112,39799,LAMINADO 157MM PP PERLADO SAMSON
20112,CPS0019,CONSUMO DE LAMINADO
20189,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
20189,CPS0019,CONSUMO DE LAMINADO
20218,43264,LAMINADO 160MM PAPEL SEMIBRILLO 80/P ARC
20218,CPS0019,CONSUMO DE LAMINADO
204,39799,LAMINADO 157MM PP PERLADO SAMSON
204,CPS0019,CONSUMO DE LAMINADO
206,39799,LAMINADO 157MM PP PERLADO SAMSON
206,CPS0019,CONSUMO DE LAMINADO
207,39799,LAMINADO 157MM PP PERLADO SAMSON
207,CPS0019,CONSUMO DE LAMINADO
209,43437,LAMINADO 157MM PP BCO BTE 64M/P1 SAMSON
209,CPS0019,CONSUMO DE LAMINADO
244,39799,LAMINADO 157MM PP PERLADO SAMSON
244,CPS0019,CONSUMO DE LAMINADO
257,39799,LAMINADO 157MM PP PERLADO SAMSON
257,CPS0019,CONSUMO DE LAMINADO
263,39799,LAMINADO 157MM PP PERLADO SAMSON
263,CPS0019,CONSUMO DE LAMINADO
308,39799,LAMINADO 157MM PP PERLADO SAMSON
308,CPS0019,CONSUMO DE LAMINADO
313,39799,LAMINADO 157MM PP PERLADO SAMSON
313,CPS0019,CONSUMO DE LAMINADO
316235,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316235,CPS0019,CONSUMO DE LAMINADO
316237,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316237,CPS0019,CONSUMO DE LAMINADO
316238,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316238,CPS0019,CONSUMO DE LAMINADO
316239,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316239,CPS0019,CONSUMO DE LAMINADO
316240,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316240,CPS0019,CONSUMO DE LAMINADO
316241,CPS0019,CONSUMO DE LAMINADO
316241,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316242,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316242,CPS0019,CONSUMO DE LAMINADO
316243,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316243,CPS0019,CONSUMO DE LAMINADO
316244,CPS0019,CONSUMO DE LAMINADO
316244,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316245,CPS0019,CONSUMO DE LAMINADO
316245,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316246,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316246,CPS0019,CONSUMO DE LAMINADO
316247,CPS0019,CONSUMO DE LAMINADO
316247,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316248,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316248,CPS0019,CONSUMO DE LAMINADO
316249,CPS0019,CONSUMO DE LAMINADO
316249,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316250,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
316250,CPS0019,CONSUMO DE LAMINADO
31626,18387,LAMINADO 111MM PAPEL BLANCO S.BRILLO AF1000
31626,CPS0019,CONSUMO DE LAMINADO
31672,CPS0019,CONSUMO DE LAMINADO
31672,45997,LAMINADO 160MM PAPEL SEMIBRILLO L80-PH-G62S (EXACTO) ARP
31751,CPS0019,CONSUMO DE LAMINADO
31751,45856,LAMINADO 330MM PAPEL SEMIBRILLO 6770 80 GR AP 904 RI
31890,39799,LAMINADO 157MM PP PERLADO SAMSON
31890,CPS0019,CONSUMO DE LAMINADO
31945,710,LAMINADO 167 WINEGLASS (AUTOMATICO) PT220 ECO
31945,CPS0019,CONSUMO DE LAMINADO
31946,710,LAMINADO 167 WINEGLASS (AUTOMATICO) PT220 ECO
31946,CPS0019,CONSUMO DE LAMINADO
32129,39799,LAMINADO 157MM PP PERLADO SAMSON
32129,CPS0019,CONSUMO DE LAMINADO
326,711,LAMINADO 160MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
326,CPS0019,CONSUMO DE LAMINADO
327,39799,LAMINADO 157MM PP PERLADO SAMSON
327,CPS0019,CONSUMO DE LAMINADO
331,39799,LAMINADO 157MM PP PERLADO SAMSON
331,CPS0019,CONSUMO DE LAMINADO
33500,39799,LAMINADO 157MM PP PERLADO SAMSON
33500,CPS0019,CONSUMO DE LAMINADO
33536,CPS0019,CONSUMO DE LAMINADO
33536,732,LAMINADO 111MM BOPP BCO OPACO 60M/AF1000/GL52M
33581,CPS0019,CONSUMO DE LAMINADO
33581,44533,LAMINADO 320MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
33751,CPS0019,CONSUMO DE LAMINADO
33751,56778,LAMINADO 330MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
33752,46036,LAMINADO 110MM PAPEL SEMIBRILLO L80-PH-G62S (EXACTO) ARP
33752,CPS0019,CONSUMO DE LAMINADO
33765,39799,LAMINADO 157MM PP PERLADO SAMSON
33765,CPS0019,CONSUMO DE LAMINADO
33982,CPS0019,CONSUMO DE LAMINADO
33982,43299,LAMINADO 110MM PAPEL TRANSFER TT64/PH
33983,703,LAMINADO 111MM PAPEL TRANSTERM PREM 80G/ADC240/LN52M
33983,CPS0019,CONSUMO DE LAMINADO
34060,39799,LAMINADO 157MM PP PERLADO SAMSON
34060,CPS0019,CONSUMO DE LAMINADO
34079,CPS0019,CONSUMO DE LAMINADO
34079,710,LAMINADO 167 WINEGLASS (AUTOMATICO) PT220 ECO
34080,710,LAMINADO 167 WINEGLASS (AUTOMATICO) PT220 ECO
34080,CPS0019,CONSUMO DE LAMINADO
34226,CPS0019,CONSUMO DE LAMINADO
34226,43349,LAMINADO 110MM PAPEL BLANCO S.BRILLO 80/P4
34230,43349,LAMINADO 110MM PAPEL BLANCO S.BRILLO 80/P4
34230,CPS0019,CONSUMO DE LAMINADO
34231,CPS0019,CONSUMO DE LAMINADO
34231,44927,LAMINADO 330MM PAPEL SEMIBRILLO L80-PH-G62S ( EXACTO) ARP
34268,CPS0019,CONSUMO DE LAMINADO
34268,54353,LAMINADO 330MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
346,39799,LAMINADO 157MM PP PERLADO SAMSON
346,CPS0019,CONSUMO DE LAMINADO
34703,705,LAMINADO 100MM PAPELTRANSTERM PREM 80G/ADC240/GL52
34703,CPS0019,CONSUMO DE LAMINADO
34787,101,LAMINADO 143MM PP ADHE. FRANJAS
34787,CPS0019,CONSUMO DE LAMINADO
34834,705,LAMINADO 100MM PAPELTRANSTERM PREM 80G/ADC240/GL52
34834,CPS0019,CONSUMO DE LAMINADO
34911,43299,LAMINADO 110MM PAPEL TRANSFER TT64/PH
34911,CPS0019,CONSUMO DE LAMINADO
34961,421,LAMINADO 143MM PAPEL BLANCO S.BRILLO ADC710 REMOV.
34961,CPS0019,CONSUMO DE LAMINADO
35099,43437,LAMINADO 157MM PP BCO BTE 64M/P1 SAMSON
35099,CPS0019,CONSUMO DE LAMINADO
35130,CPS0019,CONSUMO DE LAMINADO
35130,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
35194,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
35194,CPS0019,CONSUMO DE LAMINADO
35195,39799,LAMINADO 157MM PP PERLADO SAMSON
35195,CPS0019,CONSUMO DE LAMINADO
35208,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
35208,CPS0019,CONSUMO DE LAMINADO
35260,43299,LAMINADO 110MM PAPEL TRANSFER TT64/PH
35260,CPS0019,CONSUMO DE LAMINADO
35543,CPS0019,CONSUMO DE LAMINADO
35543,705,LAMINADO 100MM PAPELTRANSTERM PREM 80G/ADC240/GL52
35697,302,LAMINADO 160MM PAPEL BLANCO S.BRILLO 80G/AF1000/LN52M
35697,CPS0019,CONSUMO DE LAMINADO
35738,39799,LAMINADO 157MM PP PERLADO SAMSON
35738,CPS0019,CONSUMO DE LAMINADO
36234,CPS0019,CONSUMO DE LAMINADO
36234,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
364,39799,LAMINADO 157MM PP PERLADO SAMSON
364,CPS0019,CONSUMO DE LAMINADO
366,39799,LAMINADO 157MM PP PERLADO SAMSON
366,CPS0019,CONSUMO DE LAMINADO
36722,43264,LAMINADO 160MM PAPEL SEMIBRILLO 80/P ARC
36722,CPS0019,CONSUMO DE LAMINADO
36740,42282,LAMINADO 110MM PAPEL TRANSFER  AT20 F13600
36740,CPS0019,CONSUMO DE LAMINADO
36824,CPS0019,CONSUMO DE LAMINADO
36824,58115,LAMINADO 330MM PAPEL TRANSFER PH G58 TT62 ARC
36837,CPS0019,CONSUMO DE LAMINADO
36837,51656,LAMINADO 110MM PPDL54P4 OPTIMA MATE 2 G60 MIC
36869,CPS0019,CONSUMO DE LAMINADO
36869,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
36871,711,LAMINADO 160MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
36871,CPS0019,CONSUMO DE LAMINADO
36897,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
36897,CPS0019,CONSUMO DE LAMINADO
36898,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
36898,CPS0019,CONSUMO DE LAMINADO
36899,39799,LAMINADO 157MM PP PERLADO SAMSON
36899,CPS0019,CONSUMO DE LAMINADO
36900,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
36900,CPS0019,CONSUMO DE LAMINADO
36902,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
36902,CPS0019,CONSUMO DE LAMINADO
36903,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
36903,CPS0019,CONSUMO DE LAMINADO
36904,CPS0019,CONSUMO DE LAMINADO
36904,54024,LAMINADO 330MM PAPEL TRANSFER PREMIUM EXTRA / RP51 / WHITE KRAFT 65 UPM
36937,39799,LAMINADO 157MM PP PERLADO SAMSON
36937,CPS0019,CONSUMO DE LAMINADO
37015,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
37015,CPS0019,CONSUMO DE LAMINADO
37016,39799,LAMINADO 157MM PP PERLADO SAMSON
37016,CPS0019,CONSUMO DE LAMINADO
37023,45051,LAMINADO 330MM PAPEL TRANSFER TT64/PH
37023,CPS0019,CONSUMO DE LAMINADO
37024,39799,LAMINADO 157MM PP PERLADO SAMSON
37024,CPS0019,CONSUMO DE LAMINADO
37032,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
37032,CPS0019,CONSUMO DE LAMINADO
374,39799,LAMINADO 157MM PP PERLADO SAMSON
374,CPS0019,CONSUMO DE LAMINADO
377,39799,LAMINADO 157MM PP PERLADO SAMSON
377,CPS0019,CONSUMO DE LAMINADO
383,39799,LAMINADO 157MM PP PERLADO SAMSON
383,CPS0019,CONSUMO DE LAMINADO
38569,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
38569,CPS0019,CONSUMO DE LAMINADO
38572,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
38572,CPS0019,CONSUMO DE LAMINADO
38587,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
38587,CPS0019,CONSUMO DE LAMINADO
38588,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
38588,CPS0019,CONSUMO DE LAMINADO
38598,86,LAMINADO SINCLAIR 17681 157MM TYPE 31
38598,CPS0019,CONSUMO DE LAMINADO
38602,CPS0019,CONSUMO DE LAMINADO
38602,46036,LAMINADO 110MM PAPEL SEMIBRILLO L80-PH-G62S (EXACTO) ARP
38603,39799,LAMINADO 157MM PP PERLADO SAMSON
38603,CPS0019,CONSUMO DE LAMINADO
38607,39799,LAMINADO 157MM PP PERLADO SAMSON
38607,CPS0019,CONSUMO DE LAMINADO
38612,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
38612,CPS0019,CONSUMO DE LAMINADO
38613,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
38613,CPS0019,CONSUMO DE LAMINADO
38625,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
38625,CPS0019,CONSUMO DE LAMINADO
38631,18387,LAMINADO 111MM PAPEL BLANCO S.BRILLO AF1000
38631,CPS0019,CONSUMO DE LAMINADO
38641,302,LAMINADO 160MM PAPEL BLANCO S.BRILLO 80G/AF1000/LN52M
38641,CPS0019,CONSUMO DE LAMINADO
38643,39799,LAMINADO 157MM PP PERLADO SAMSON
38643,CPS0019,CONSUMO DE LAMINADO
38644,39799,LAMINADO 157MM PP PERLADO SAMSON
38644,CPS0019,CONSUMO DE LAMINADO
38647,43437,LAMINADO 157MM PP BCO BTE 64M/P1 SAMSON
38647,CPS0019,CONSUMO DE LAMINADO
38649,43437,LAMINADO 157MM PP BCO BTE 64M/P1 SAMSON
38649,CPS0019,CONSUMO DE LAMINADO
38670,44626,LAMINADO 110MM PPDL54P4 OPTIMA MATE AF1000 G60 ARC
38670,CPS0019,CONSUMO DE LAMINADO
38742,39799,LAMINADO 157MM PP PERLADO SAMSON
38742,CPS0019,CONSUMO DE LAMINADO
38756,39799,LAMINADO 157MM PP PERLADO SAMSON
38756,CPS0019,CONSUMO DE LAMINADO
38762,CPS0019,CONSUMO DE LAMINADO
38762,57559,LAMINADO 330MM PAPEL SEMIBRILLO L80-PH-G60 ARP
38782,18387,LAMINADO 111MM PAPEL BLANCO S.BRILLO AF1000
38782,CPS0019,CONSUMO DE LAMINADO
38797,CPS0019,CONSUMO DE LAMINADO
38797,46344,LAMINADO 160MM PPBB60-P1-G62S (Samson)
38798,CPS0019,CONSUMO DE LAMINADO
38798,46344,LAMINADO 160MM PPBB60-P1-G62S (Samson)
38808,CPS0019,CONSUMO DE LAMINADO
38808,711,LAMINADO 160MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
38860,39799,LAMINADO 157MM PP PERLADO SAMSON
38860,CPS0019,CONSUMO DE LAMINADO
38861,39799,LAMINADO 157MM PP PERLADO SAMSON
38861,CPS0019,CONSUMO DE LAMINADO
38870,38978,LAMINADO 333MM PP TRANSPARENTE 50TC S0208 BG62B
38870,CPS0019,CONSUMO DE LAMINADO
38873,38978,LAMINADO 333MM PP TRANSPARENTE 50TC S0208 BG62B
38873,CPS0019,CONSUMO DE LAMINADO
38878,38774,LAMINADO 265MM PP TRANSP. 50TC S0208 BG62B
38878,CPS0019,CONSUMO DE LAMINADO
38886,39799,LAMINADO 157MM PP PERLADO SAMSON
38886,CPS0019,CONSUMO DE LAMINADO
38887,39799,LAMINADO 157MM PP PERLADO SAMSON
38887,CPS0019,CONSUMO DE LAMINADO
389,39799,LAMINADO 157MM PP PERLADO SAMSON
389,CPS0019,CONSUMO DE LAMINADO
38919,CPS0019,CONSUMO DE LAMINADO
38919,53291,LAMINADO 320MM BLACKCOVER II  80 GR AE500 GL62 INNO 2
38939,18387,LAMINADO 111MM PAPEL BLANCO S.BRILLO AF1000
38939,CPS0019,CONSUMO DE LAMINADO
38949,39799,LAMINADO 157MM PP PERLADO SAMSON
38949,CPS0019,CONSUMO DE LAMINADO
38950,39799,LAMINADO 157MM PP PERLADO SAMSON
38950,CPS0019,CONSUMO DE LAMINADO
38982,42282,LAMINADO 110MM PAPEL TRANSFER  AT20 F13600
38982,CPS0019,CONSUMO DE LAMINADO
38983,CPS0019,CONSUMO DE LAMINADO
38983,56575,LAMINADO 110MM PAPEL TRANSFER TOP PREMIUM F01212B AVERY
38984,CPS0019,CONSUMO DE LAMINADO
38984,56575,LAMINADO 110MM PAPEL TRANSFER TOP PREMIUM F01212B AVERY
39,39799,LAMINADO 157MM PP PERLADO SAMSON
39,CPS0019,CONSUMO DE LAMINADO
39003,CPS0019,CONSUMO DE LAMINADO
39003,51656,LAMINADO 110MM PPDL54P4 OPTIMA MATE 2 G60 MIC
39004,39799,LAMINADO 157MM PP PERLADO SAMSON
39004,CPS0019,CONSUMO DE LAMINADO
39019,39799,LAMINADO 157MM PP PERLADO SAMSON
39019,CPS0019,CONSUMO DE LAMINADO
39020,39799,LAMINADO 157MM PP PERLADO SAMSON
39020,CPS0019,CONSUMO DE LAMINADO
39021,39799,LAMINADO 157MM PP PERLADO SAMSON
39021,CPS0019,CONSUMO DE LAMINADO
39026,CPS0019,CONSUMO DE LAMINADO
39026,711,LAMINADO 160MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
39027,38608,LAMINADO 110MM HG FASCOVER AT20 7636
39027,CPS0019,CONSUMO DE LAMINADO
39065,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
39065,CPS0019,CONSUMO DE LAMINADO
39067,43263,LAMINADO 110MM PAPEL SEMIBRILLO 80/P ARC
39067,CPS0019,CONSUMO DE LAMINADO
39070,39799,LAMINADO 157MM PP PERLADO SAMSON
39070,CPS0019,CONSUMO DE LAMINADO
39076,18387,LAMINADO 111MM PAPEL BLANCO S.BRILLO AF1000
39076,CPS0019,CONSUMO DE LAMINADO
39077,CPS0019,CONSUMO DE LAMINADO
39077,52753,LAMINADO 110MM PAPEL SEMIBRILLO 80G-RP48AT-68G UPM
39117,CPS0019,CONSUMO DE LAMINADO
39117,53291,LAMINADO 320MM BLACKCOVER II  80 GR AE500 GL62 INNO 2
39150,CPS0019,CONSUMO DE LAMINADO
39150,56778,LAMINADO 330MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
39153,39151,LAMINADO 111MM PAPEL OPACO (GMC-COLACRIL)
39153,CPS0019,CONSUMO DE LAMINADO
39154,39151,LAMINADO 111MM PAPEL OPACO (GMC-COLACRIL)
39154,CPS0019,CONSUMO DE LAMINADO
39155,703,LAMINADO 111MM PAPEL TRANSTERM PREM 80G/ADC240/LN52M
39155,CPS0019,CONSUMO DE LAMINADO
39192,302,LAMINADO 160MM PAPEL BLANCO S.BRILLO 80G/AF1000/LN52M
39192,CPS0019,CONSUMO DE LAMINADO
39216,39799,LAMINADO 157MM PP PERLADO SAMSON
39216,CPS0019,CONSUMO DE LAMINADO
39224,39219,LAMINADO 265MM PAPEL BCO S.BRILLO 80G/ADC240/GL52M
39224,CPS0019,CONSUMO DE LAMINADO
39256,39799,LAMINADO 157MM PP PERLADO SAMSON
39256,CPS0019,CONSUMO DE LAMINADO
39257,39799,LAMINADO 157MM PP PERLADO SAMSON
39257,CPS0019,CONSUMO DE LAMINADO
39258,39799,LAMINADO 157MM PP PERLADO SAMSON
39258,CPS0019,CONSUMO DE LAMINADO
39264,39799,LAMINADO 157MM PP PERLADO SAMSON
39264,CPS0019,CONSUMO DE LAMINADO
39265,39799,LAMINADO 157MM PP PERLADO SAMSON
39265,CPS0019,CONSUMO DE LAMINADO
39266,39799,LAMINADO 157MM PP PERLADO SAMSON
39266,CPS0019,CONSUMO DE LAMINADO
39312,39307,LAMINADO 275MM PAPEL BCO S.BRILLO 80G/ADC240/GL52M
39312,CPS0019,CONSUMO DE LAMINADO
39313,39307,LAMINADO 275MM PAPEL BCO S.BRILLO 80G/ADC240/GL52M
39313,CPS0019,CONSUMO DE LAMINADO
39315,39307,LAMINADO 275MM PAPEL BCO S.BRILLO 80G/ADC240/GL52M
39315,CPS0019,CONSUMO DE LAMINADO
39316,39307,LAMINADO 275MM PAPEL BCO S.BRILLO 80G/ADC240/GL52M
39316,CPS0019,CONSUMO DE LAMINADO
39317,39306,LAMINADO 250MM PAPEL BCO S.BRILLO 80G/ADC240/GL52M
39317,CPS0019,CONSUMO DE LAMINADO
39318,39307,LAMINADO 275MM PAPEL BCO S.BRILLO 80G/ADC240/GL52M
39318,CPS0019,CONSUMO DE LAMINADO
39319,39307,LAMINADO 275MM PAPEL BCO S.BRILLO 80G/ADC240/GL52M
39319,CPS0019,CONSUMO DE LAMINADO
39320,39306,LAMINADO 250MM PAPEL BCO S.BRILLO 80G/ADC240/GL52M
39320,CPS0019,CONSUMO DE LAMINADO
39363,39219,LAMINADO 265MM PAPEL BCO S.BRILLO 80G/ADC240/GL52M
39363,CPS0019,CONSUMO DE LAMINADO
39372,277,LAMINADO 157MM BOPP BCO BTE 60M/AF1000/GL52M
39372,CPS0019,CONSUMO DE LAMINADO
39374,CPS0019,CONSUMO DE LAMINADO
39374,52753,LAMINADO 110MM PAPEL SEMIBRILLO 80G-RP48AT-68G UPM
39395,CPS0019,CONSUMO DE LAMINADO
39395,45856,LAMINADO 330MM PAPEL SEMIBRILLO 6770 80 GR AP 904 RI
39432,CPS0019,CONSUMO DE LAMINADO
39432,711,LAMINADO 160MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
39444,719,LAMINADO 100MM PAPEL BLANCO SEMIBRILLO RI
39444,CPS0019,CONSUMO DE LAMINADO
39445,302,LAMINADO 160MM PAPEL BLANCO S.BRILLO 80G/AF1000/LN52M
39445,CPS0019,CONSUMO DE LAMINADO
39455,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
39455,CPS0019,CONSUMO DE LAMINADO
39456,CPS0019,CONSUMO DE LAMINADO
39456,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
39457,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
39457,CPS0019,CONSUMO DE LAMINADO
39461,57553,LAMINADO 110MM PAPEL SEMIBRILLO L80-PH-G60 ARP
39461,CPS0019,CONSUMO DE LAMINADO
39470,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
39470,CPS0019,CONSUMO DE LAMINADO
39471,39799,LAMINADO 157MM PP PERLADO SAMSON
39471,CPS0019,CONSUMO DE LAMINADO
39472,39799,LAMINADO 157MM PP PERLADO SAMSON
39472,CPS0019,CONSUMO DE LAMINADO
39474,39469,LAMINADO 220MM PAPEL 06197 TRIPLEX VELLUM 60W/60W AP904
39474,CPS0019,CONSUMO DE LAMINADO
39475,39370,LAMINADO 135MM PAPEL BLANCO S.BRILLO 80 AP904 GL60
39475,CPS0019,CONSUMO DE LAMINADO
39476,39370,LAMINADO 135MM PAPEL BLANCO S.BRILLO 80 AP904 GL60
39476,CPS0019,CONSUMO DE LAMINADO
39488,39799,LAMINADO 157MM PP PERLADO SAMSON
39488,CPS0019,CONSUMO DE LAMINADO
39489,43437,LAMINADO 157MM PP BCO BTE 64M/P1 SAMSON
39489,CPS0019,CONSUMO DE LAMINADO
39490,43437,LAMINADO 157MM PP BCO BTE 64M/P1 SAMSON
39490,CPS0019,CONSUMO DE LAMINADO
39493,39799,LAMINADO 157MM PP PERLADO SAMSON
39493,CPS0019,CONSUMO DE LAMINADO
39494,39799,LAMINADO 157MM PP PERLADO SAMSON
39494,CPS0019,CONSUMO DE LAMINADO
39495,43437,LAMINADO 157MM PP BCO BTE 64M/P1 SAMSON
39495,CPS0019,CONSUMO DE LAMINADO
39496,43437,LAMINADO 157MM PP BCO BTE 64M/P1 SAMSON
39496,CPS0019,CONSUMO DE LAMINADO
39504,39219,LAMINADO 265MM PAPEL BCO S.BRILLO 80G/ADC240/GL52M
39504,CPS0019,CONSUMO DE LAMINADO
39505,39170,LAMINADO 200MM PAPEL BCO S.BRILLO 80G/ADC240/GL52M
39505,CPS0019,CONSUMO DE LAMINADO
39506,39799,LAMINADO 157MM PP PERLADO SAMSON
39506,CPS0019,CONSUMO DE LAMINADO
39507,39799,LAMINADO 157MM PP PERLADO SAMSON
39507,CPS0019,CONSUMO DE LAMINADO
39510,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
39510,CPS0019,CONSUMO DE LAMINADO
39549,711,LAMINADO 160MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
39549,CPS0019,CONSUMO DE LAMINADO
39551,39799,LAMINADO 157MM PP PERLADO SAMSON
39551,CPS0019,CONSUMO DE LAMINADO
