Codigo,Componente,Nombre_Componente
57539,57373,LAMINADO 300MM PP BCO BTE PPBB60-P ARP
57540,CPS0019,CONSUMO DE LAMINADO
57540,46148,LAMINADO 330MM PPBB60-P1-G62S
57544,CPS0019,CONSUMO DE LAMINADO
57544,56778,LAMINADO 330MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
57545,CPS0019,CONSUMO DE LAMINADO
57545,48647,LAMINADO FILM PETG 330 MM 45 MIC
57545,49673,LAMINADO FOLIA PLATA COLDFOIL 320MM
57546,CPS0019,CONSUMO DE LAMINADO
57546,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
57547,CPS0019,CONSUMO DE LAMINADO
57547,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
57548,CPS0019,CONSUMO DE LAMINADO
57548,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
57549,CPS0019,CONSUMO DE LAMINADO
57549,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
57550,CPS0019,CONSUMO DE LAMINADO
57550,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
57551,CPS0019,CONSUMO DE LAMINADO
57551,54022,LAMINADO 110MM PAPEL TRANSFER PREMIUM EXTRA / RP51 / WHITE KRAFT 65 UPM
57560,CPS0019,CONSUMO DE LAMINADO
57560,50359,LAMINADO FILM PETG 240 MM 45 MIC
57561,CPS0019,CONSUMO DE LAMINADO
57561,50359,LAMINADO FILM PETG 240 MM 45 MIC
57562,CPS0019,CONSUMO DE LAMINADO
57562,50359,LAMINADO FILM PETG 240 MM 45 MIC
57563,CPS0019,CONSUMO DE LAMINADO
57563,50359,LAMINADO FILM PETG 240 MM 45 MIC
57571,CPS0019,CONSUMO DE LAMINADO
57571,57557,LAMINADO 300MM PAPEL SEMIBRILLO L80-PH-G60 ARP
57572,CPS0019,CONSUMO DE LAMINADO
57572,57557,LAMINADO 300MM PAPEL SEMIBRILLO L80-PH-G60 ARP
57572,57872,LAMINADO 300MM PAPEL SEMIBRILLO L80 -P - G60 ARP
57573,CPS0019,CONSUMO DE LAMINADO
57573,57557,LAMINADO 300MM PAPEL SEMIBRILLO L80-PH-G60 ARP
57574,CPS0019,CONSUMO DE LAMINADO
57574,57557,LAMINADO 300MM PAPEL SEMIBRILLO L80-PH-G60 ARP
57575,CPS0019,CONSUMO DE LAMINADO
57575,56885,LAMINADO 320MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
57576,CPS0019,CONSUMO DE LAMINADO
57576,57559,LAMINADO 330MM PAPEL SEMIBRILLO L80-PH-G60 ARP
57577,CPS0019,CONSUMO DE LAMINADO
57577,57559,LAMINADO 330MM PAPEL SEMIBRILLO L80-PH-G60 ARP
57578,CPS0019,CONSUMO DE LAMINADO
57578,57559,LAMINADO 330MM PAPEL SEMIBRILLO L80-PH-G60 ARP
57579,CPS0019,CONSUMO DE LAMINADO
57579,57559,LAMINADO 330MM PAPEL SEMIBRILLO L80-PH-G60 ARP
57580,CPS0019,CONSUMO DE LAMINADO
57580,50359,LAMINADO FILM PETG 240 MM 45 MIC
57581,CPS0019,CONSUMO DE LAMINADO
57581,50359,LAMINADO FILM PETG 240 MM 45 MIC
57582,CPS0019,CONSUMO DE LAMINADO
57582,50359,LAMINADO FILM PETG 240 MM 45 MIC
57583,CPS0019,CONSUMO DE LAMINADO
57583,50359,LAMINADO FILM PETG 240 MM 45 MIC
57584,CPS0019,CONSUMO DE LAMINADO
57584,50360,LAMINADO FILM PETG 300 MM 45 MIC
57585,CPS0019,CONSUMO DE LAMINADO
57585,50360,LAMINADO FILM PETG 300 MM 45 MIC
57586,CPS0019,CONSUMO DE LAMINADO
57586,50360,LAMINADO FILM PETG 300 MM 45 MIC
57587,CPS0019,CONSUMO DE LAMINADO
57587,50360,LAMINADO FILM PETG 300 MM 45 MIC
57588,CPS0019,CONSUMO DE LAMINADO
57588,50359,LAMINADO FILM PETG 240 MM 45 MIC
57589,CPS0019,CONSUMO DE LAMINADO
57589,50359,LAMINADO FILM PETG 240 MM 45 MIC
57592,CPS0019,CONSUMO DE LAMINADO
57592,57374,LAMINADO 330MM PP BCO BTE PPBB60-P ARP
57593,CPS0019,CONSUMO DE LAMINADO
57593,45856,LAMINADO 330MM PAPEL SEMIBRILLO 6770 80 GR AP 904 RI
57594,CPS0019,CONSUMO DE LAMINADO
57594,51557,LAMINADO FILM PETG 280 MM 45 MIC
57595,CPS0019,CONSUMO DE LAMINADO
57595,51557,LAMINADO FILM PETG 280 MM 45 MIC
57596,CPS0019,CONSUMO DE LAMINADO
57596,50359,LAMINADO FILM PETG 240 MM 45 MIC
57597,CPS0019,CONSUMO DE LAMINADO
57597,53511,LAMINADO 330 MM PPDL54P1 OPTIMA MATE G60 ARC
57597,46148,LAMINADO 330MM PPBB60-P1-G62S
57598,CPS0019,CONSUMO DE LAMINADO
57598,53511,LAMINADO 330 MM PPDL54P1 OPTIMA MATE G60 ARC
57598,46148,LAMINADO 330MM PPBB60-P1-G62S
57599,43389,LAMINADO 75MM SEGURIDAD ARSEAL AZUL
57599,CPS0019,CONSUMO DE LAMINADO
57601,CPS0019,CONSUMO DE LAMINADO
57601,56775,LAMINADO 160MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
57604,CPS0019,CONSUMO DE LAMINADO
57604,57452,LAMINADO 280MM PP BCO. BTE. 60 S0290 F2953B AVERY
57605,CPS0019,CONSUMO DE LAMINADO
57605,54080,LAMINADO 200MM PP METALIZADO PLATA BRILLANTE RP37 UPM
57606,CPS0019,CONSUMO DE LAMINADO
57606,53894,LAMINADO 300MM PP TRANSP. RP37 SY105C UPM RAFLATAC
57607,CPS0019,CONSUMO DE LAMINADO
57607,51558,LAMINADO FILM PETG 360 MM 45 MIC
57608,CPS0019,CONSUMO DE LAMINADO
57608,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57609,CPS0019,CONSUMO DE LAMINADO
57609,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57610,CPS0019,CONSUMO DE LAMINADO
57610,54082,LAMINADO 300MM BOPP  METALIZADO PLATA BRILLANTE RP37UPM
57612,CPS0019,CONSUMO DE LAMINADO
57612,54080,LAMINADO 200MM PP METALIZADO PLATA BRILLANTE RP37 UPM
57614,44892,LAMINADO 200MM PPBB60-P4-G62S
57614,CPS0019,CONSUMO DE LAMINADO
