Codigo,Nombre,Cantidad_Disponible,Unidad_Medida,Costo_Unitario,Valor_Stock_Total,Categoria,Bodega,Comprometido,Proveedor
58625,PAÑO LIMPIEZA ANTIESTATICO KIMTECH,0.0,LITRO,20000.0,0.0,PROD. TINTAS DIGITAL,"BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, NOTAS DE CREDITO, RECLAMO PROVEEDOR, PRODUCTOS RECHAZADOS, PRODUCCION, TDP STOCK, SERVICIO TECNICO, MPRIMA SOBRE STOCK, DIFERENCIAS DE INV. P.T., BODEGA GESLOG INTEGRAL, OBSOLETOS COMERCIAL, RRHH, CONTAINER, SERV.TECNICO SINCLAIR, BODEGA PROVEEDOR, ST CONCEPCION, POSCOSECHA MUESTRAS, TINTAS, TALLER SERV.TECNICO, BODEGA CLIENTES, SALDO MATERIAS PRIMAS, SIEGWERK, MP MAQUINA WEBER, POSCOSECHA, BODEGA ESQUIM, PERU STOCK ENVIO, SERV.TECNICO SAMSON, BOG. LOGICA ARAUCO, SINCLAIR STOCK, GESLOG PUDAHUEL, ST IMPRESORAS Y EQUIPOS",0.0,- Ningún fabricante -
58667,ET TC 92.87 X 136 LF 64 PETG LAB. MAVER ENERDAY LIMON  60 ML A FJ50 V052024 (305824) /F2,5000.0,UNIDAD,9.111,45555.0,PRIME TERMOCONTRAIBL,PRODUCTOS TERMINADOS,0.0,- Ningún fabricante -
58675,CONO 27 X 23 X 3 (ETIQ. PP) ( EX-54 ) PERU,0.0,UNIDAD,0.0,0.0,PROD. INSUMOS,"BODEGA ESQUIM, PERU STOCK ENVIO, SERV.TECNICO SAMSON, GESLOG PUDAHUEL, ST IMPRESORAS Y EQUIPOS, POSCOSECHA MUESTRAS, TINTAS, BODEGA CLIENTES, BODEGA GESLOG INTEGRAL, RRHH, MPRIMA SOBRE STOCK, BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCCION",0.0,- Ningún fabricante -
58676,CONO 77 X 20 X 4 (SISA) SIN IMPRESION ( EX-38995 ) PERU,0.0,UNIDAD,0.0,0.0,PROD. INSUMOS,"BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCCION, BODEGA CLIENTES, MPRIMA SOBRE STOCK, DIFERENCIAS DE INV. P.T., SINCLAIR STOCK, BODEGA GESLOG INTEGRAL, RRHH, POSCOSECHA MUESTRAS, TINTAS, BODEGA ESQUIM, PERU STOCK ENVIO, GESLOG PUDAHUEL, ST IMPRESORAS Y EQUIPOS, SERV.TECNICO SAMSON",19402202.05184,- Ningún fabricante -
58677,CAJA ETQ-SAMSON 28.0 X 19.0 X 21.0 INNOPRINT ( 59002) PERU,0.0,UNIDAD,0.0,0.0,PROD. INSUMOS,"PRODUCCION, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO, MPRIMA SOBRE STOCK, DIFERENCIAS DE INV. P.T., RRHH, BODEGA GESLOG INTEGRAL, MP MAQUINA WEBER, CONTAINER, ST CONCEPCION, BODEGA PROVEEDOR, SERV.TECNICO SINCLAIR, BODEGA CLIENTES, TINTAS, POSCOSECHA MUESTRAS, OBSOLETOS COMERCIAL, SALDO MATERIAS PRIMAS, ST IMPRESORAS Y EQUIPOS, GESLOG PUDAHUEL, SERV.TECNICO SAMSON, BOG. LOGICA ARAUCO, PERU STOCK ENVIO, BODEGA ESQUIM, POSCOSECHA, SINCLAIR STOCK",1261978.91645,- Ningún fabricante -
58679,"RACLA MICROFLEX ll 25 X 0,25 PERU",0.0,UNIDAD,0.0,0.0,PROD. INSUMOS,"BODEGA ESQUIM, PERU STOCK ENVIO, SERV.TECNICO SAMSON, GESLOG PUDAHUEL, ST IMPRESORAS Y EQUIPOS, POSCOSECHA MUESTRAS, TINTAS, BODEGA CLIENTES, BODEGA GESLOG INTEGRAL, RRHH, DIFERENCIAS DE INV. P.T., MPRIMA SOBRE STOCK, BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCCION",0.0,- Ningún fabricante -
58698,ETIQ.INDUST.B 70X100 TRANS AGROSUPER ETIQUETA  21279 AF A3 C3 1S 7500ETR V524,702.0,MILES,5270.4359,3699846.0,INDUST. BLANCA,PRODUCTOS TERMINADOS,4284.0,- Ningún fabricante -
58710,ETIQUETA INDUSTRIAL 200 X 100 PP  C/3 1S 500 ETR,21.0,MILES,15665.2381,328969.0,INDUST. BLANCA,PRODUCTOS TERMINADOS,0.0,- Ningún fabricante -
58711,LAMINADO 100MM PAPEL SINTETICO 250 micras DG II,465.0,M2,1857.5161,863745.0,PROD. MAT.PRIMA,PRODUCCION,360.0,DAVIS GRAPHICS
58716,ETIQUETA IND. 200 x 100 PP ROJO 1777 C / CONO 3 1S 500 ET. X ROLLO,0.5,MILES,21830.0,10915.0,INDUSTRIAL IMPRESAS,PRODUCTOS TERMINADOS,0.0,- Ningún fabricante -
58723,CABLES Y CONECTORES TARJETA DE MOTOR,0.0,UN,98799.0,0.0,ST-ETIQUETADO,"MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS TERMINADOS, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, DIFERENCIAS DE INV. P.T., MPRIMA SOBRE STOCK, BODEGA CLIENTES, TDP STOCK, TALLER SERV.TECNICO, SERVICIO TECNICO, TINTAS, SIEGWERK, SALDO MATERIAS PRIMAS, OBSOLETOS COMERCIAL, MP MAQUINA WEBER, POSCOSECHA MUESTRAS, RRHH, ST CONCEPCION, BODEGA GESLOG INTEGRAL, CONTAINER, SINCLAIR STOCK, POSCOSECHA, SERV.TECNICO SINCLAIR, BODEGA PROVEEDOR, SERV.TECNICO SAMSON, BOG. LOGICA ARAUCO, ST IMPRESORAS Y EQUIPOS, GESLOG PUDAHUEL, PERU STOCK ENVIO, BODEGA ESQUIM",0.0,- Ningún fabricante -
58724,CINTA TT CERA 60 X 450 OUT F,0.0,UNIDAD,1713.0,0.0,INDUST. CINTAS,"BODEGA ESQUIM, PERU STOCK ENVIO, GESLOG PUDAHUEL, ST IMPRESORAS Y EQUIPOS, BOG. LOGICA ARAUCO, SERV.TECNICO SAMSON, BODEGA PROVEEDOR, SERV.TECNICO SINCLAIR, POSCOSECHA, SINCLAIR STOCK, CONTAINER, BODEGA GESLOG INTEGRAL, ST CONCEPCION, RRHH, POSCOSECHA MUESTRAS, MP MAQUINA WEBER, OBSOLETOS COMERCIAL, SALDO MATERIAS PRIMAS, SIEGWERK, TINTAS, SERVICIO TECNICO, TALLER SERV.TECNICO, TDP STOCK, BODEGA CLIENTES, MPRIMA SOBRE STOCK, DIFERENCIAS DE INV. P.T., NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, PRODUCTOS TERMINADOS, RECLAMO PROVEEDOR, PRODUCCION, BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS",0.0,- Ningún fabricante -
58728,ETIQ.INDUST.B 130X100 SEM.F  ETIQ. BLANCA  AE A3 C3 1S 1.000 ETR V624,12.0,MILES,7347.4167,88169.0,INDUST. BLANCA,PRODUCTOS TERMINADOS,0.0,- Ningún fabricante -
58731,"ETIQUETA SEMIBRILLO,  APAGA, LETRAS COREANAS, 95X70 PERU",31.5,MILES,7301.1429,229985.0,SAMSON PERU,PRODUCTOS TERMINADOS,0.0,- Ningún fabricante -
58732,"ETIQUETA SEMIBRILLO,  APAGA, LETRAS COREANAS, 104,5 X 77, PERU",42.4,MILES,8483.5613,359704.0,SAMSON PERU,PRODUCTOS TERMINADOS,0.0,- Ningún fabricante -
58739,C/10 TUBOS ETILENO GASTEC,0.0,UN,46842.6,0.0,POSCOSECHA REPUESTO,"BODEGA COSTEO, TINTAS, POSCOSECHA MUESTRAS, BODEGA GESLOG INTEGRAL, POSCOSECHA, ST IMPRESORAS Y EQUIPOS, GESLOG PUDAHUEL, BODEGA ESQUIM",0.0,CITROSOL
58740,C/10 TUBOS CO2 GASTEC,0.0,UN,46842.6,0.0,POSCOSECHA REPUESTO,"BODEGA ESQUIM, GESLOG PUDAHUEL, ST IMPRESORAS Y EQUIPOS, POSCOSECHA, BODEGA GESLOG INTEGRAL, POSCOSECHA MUESTRAS, TINTAS, BODEGA COSTEO",0.0,CITROSOL
58745,PAÑOS DE LIMPIEZA PERU,0.0,KILOS,0.0,0.0,PROD. INSUMOS,"MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO, PRODUCCION, DIFERENCIAS DE INV. P.T., MPRIMA SOBRE STOCK, BODEGA GESLOG INTEGRAL, RRHH, BODEGA CLIENTES, TINTAS, POSCOSECHA MUESTRAS, ST IMPRESORAS Y EQUIPOS, GESLOG PUDAHUEL, SERV.TECNICO SAMSON, PERU STOCK ENVIO, BODEGA ESQUIM",0.0,- Ningún fabricante -
