ItemCode,CodBodega,ItemName,Cantidad,Costo,ValorStockTotal,FechAdmis,Ancho
13735,19,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,20,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,21,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,22,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,24,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,26,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,34,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,35,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,36,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,38,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,40,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,42,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,44,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,45,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,46,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,48,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,49,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,50,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,51,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,52,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,53,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,54,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
16279,01,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,02,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,03,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,04,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,05,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,06,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,07,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,08,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,09,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,10,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,11,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,12,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,13,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,14,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,15,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,16,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,17,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,18,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,19,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,20,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,21,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
16279,22,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,59659.3333,0.0,1900-01-01,0.0
